Num_Acc,id_vehicule,fixed_obstacle ,movable_obstacle,initial_shock,maneuver,motor,occupants_public_transport
201900000278,138 306 008,0,2,3,15,1,0.0
201900000279,138 306 006,3,0,2,13,1,0.0
201900000280,138 306 004,0,2,1,17,1,0.0
201900000280,138 306 005,0,2,3,15,1,0.0
201900000281,138 306 003,13,0,1,14,1,0.0
201900000282,138 306 002,0,1,2,0,0,0.0
201900000283,138 306 000,0,2,1,13,0,0.0
201900000283,138 306 001,0,2,1,1,0,0.0
201900000284,138 305 998,0,2,3,13,1,0.0
201900000284,138 305 999,0,2,3,1,1,0.0
201900000285,138 305 997,0,0,3,1,1,0.0
201900000286,138 305 996,15,0,1,1,1,0.0
201900000287,138 305 995,1,0,3,13,1,0.0
201900000288,138 305 993,13,0,2,21,1,0.0
201900000289,138 305 992,6,0,7,1,1,0.0
201900000290,138 305 990,0,2,1,2,1,0.0
201900000290,138 305 991,0,2,4,23,1,0.0
201900000291,138 305 989,13,0,1,1,1,0.0
201900000292,138 305 987,0,2,6,15,1,0.0
201900000292,138 305 988,0,2,1,1,1,0.0
201900000293,138 305 982,0,2,1,5,5,0.0
201900000293,138 305 983,0,9,1,1,6,0.0
201900000294,138 305 978,0,0,6,16,0,0.0
201900000294,138 305 979,0,2,2,13,0,0.0
201900000295,138 305 976,0,2,3,13,0,0.0
201900000295,138 305 977,7,2,3,1,0,0.0
201900000296,138 305 973,8,0,2,1,0,0.0
201900000297,138 305 971,0,2,8,19,1,0.0
201900000297,138 305 972,0,2,1,1,1,0.0
201900000298,138 305 970,13,0,3,19,1,0.0
201900000299,138 305 968,0,0,4,1,6,0.0
201900000299,138 305 969,0,0,1,2,1,0.0
201900000300,138 305 967,13,0,3,0,1,0.0
201900000301,138 305 965,0,2,5,19,1,0.0
201900000301,138 305 966,0,2,1,1,1,0.0
201900000302,138 305 963,0,0,3,0,1,0.0
201900000302,138 305 964,0,2,3,13,1,0.0
201900000303,138 305 961,0,0,4,2,1,0.0
201900000303,138 305 962,0,2,1,2,1,0.0
201900000304,138 305 960,2,0,1,0,1,0.0
201900000305,138 305 958,0,0,4,1,5,0.0
201900000305,138 305 959,8,2,1,1,1,0.0
201900000306,138 305 957,11,0,9,13,1,0.0
201900000307,138 305 955,0,2,1,0,5,0.0
201900000307,138 305 956,0,2,2,0,1,0.0
201900000308,138 305 953,0,2,3,0,1,0.0
201900000308,138 305 954,0,2,2,0,1,0.0
201900000309,138 305 951,0,2,5,1,1,0.0
201900000309,138 305 952,0,2,2,16,1,0.0
201900000310,138 305 950,0,0,7,1,5,0.0
201900000311,138 305 949,0,0,0,1,1,0.0
201900000312,138 305 947,0,2,2,1,1,0.0
201900000312,138 305 948,0,2,3,9,1,0.0
201900000313,138 305 946,4,0,9,26,1,0.0
201900000314,138 305 944,0,2,8,9,1,0.0
201900000314,138 305 945,0,2,7,1,1,0.0
201900000315,138 305 942,0,2,3,15,0,0.0
201900000315,138 305 943,0,2,1,1,0,0.0
201900000316,138 305 940,0,2,4,2,1,0.0
201900000316,138 305 941,0,2,1,2,1,0.0
201900000317,138 305 938,0,2,1,1,1,0.0
201900000317,138 305 939,0,2,1,13,1,0.0
201900000318,138 305 936,0,2,1,2,1,0.0
201900000318,138 305 937,0,2,4,2,1,0.0
201900000319,138 305 934,0,2,1,15,1,0.0
201900000319,138 305 935,0,2,1,1,1,0.0
201900000320,138 305 933,0,1,1,1,5,0.0
201900000321,138 305 932,0,0,8,1,1,0.0
201900000322,138 305 931,0,0,1,1,1,0.0
201900000323,138 305 930,12,0,2,14,1,0.0
201900000324,138 305 929,0,1,1,1,1,0.0
201900000325,138 305 928,0,1,2,9,1,0.0
201900000326,138 305 925,12,0,1,1,1,0.0
201900000327,138 305 923,0,2,1,2,1,0.0
201900000327,138 305 924,0,2,0,0,3,0.0
